Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
ene-07;9,6 €/m2;-6,00%;-2,60%;n.d.
dic-06;10,3 €/m2;5,70%;3,30%;n.d.
nov-06;9,7 €/m2;-2,00%;n.d.;n.d.
oct-06;9,9 €/m2;-0,30%;n.d.;n.d.
sep-06;9,9 €/m2;n.d.;n.d.;n.d.
ago-06;n.d.;n.d.;n.d.;n.d.
jul-06;n.d.;n.d.;n.d.;n.d.
jun-06;n.d.;n.d.;n.d.;n.d.
may-06;n.d.;n.d.;n.d.;n.d.
abr-06;n.d.;n.d.;n.d.;n.d.
mar-06;n.d.;n.d.;n.d.;n.d.
feb-06;n.d.;n.d.;n.d.;n.d.
ene-06;n.d.;n.d.;n.d.;n.d.
