Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Total Nacional;Percentil 90;2021;46.430,36
Ambos sexos;Total Nacional;Percentil 90;2020;45.359,96
Ambos sexos;Total Nacional;Percentil 90;2019;44.127,12
Ambos sexos;Total Nacional;Percentil 90;2018;43.382,16
Ambos sexos;Total Nacional;Percentil 90;2017;42.454,21
Ambos sexos;Total Nacional;Percentil 90;2016;41.855,38
Ambos sexos;Total Nacional;Percentil 90;2015;41.648,67
Ambos sexos;Total Nacional;Percentil 90;2014;41.350,36
