Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Total Nacional;Mediana;2021;21.638,69
Ambos sexos;Total Nacional;Mediana;2020;20.920,12
Ambos sexos;Total Nacional;Mediana;2019;20.351,02
Ambos sexos;Total Nacional;Mediana;2018;20.078,44
Ambos sexos;Total Nacional;Mediana;2017;19.830,12
Ambos sexos;Total Nacional;Mediana;2016;19.432,62
Ambos sexos;Total Nacional;Mediana;2015;19.466,49
Ambos sexos;Total Nacional;Mediana;2014;19.263,78
