Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Total Nacional;Percentil 10;2021;10.192,38
Ambos sexos;Total Nacional;Percentil 10;2020;9.586,51
Ambos sexos;Total Nacional;Percentil 10;2019;8.943,26
Ambos sexos;Total Nacional;Percentil 10;2018;8.457,36
Ambos sexos;Total Nacional;Percentil 10;2017;8.583,81
Ambos sexos;Total Nacional;Percentil 10;2016;8.095,44
Ambos sexos;Total Nacional;Percentil 10;2015;7.962,45
Ambos sexos;Total Nacional;Percentil 10;2014;7.626,20
