Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Total Nacional;Cuartil superior;2021;32.385,45
Ambos sexos;Total Nacional;Cuartil superior;2020;31.550,01
Ambos sexos;Total Nacional;Cuartil superior;2019;30.558,45
Ambos sexos;Total Nacional;Cuartil superior;2018;30.057,33
Ambos sexos;Total Nacional;Cuartil superior;2017;29.628,64
Ambos sexos;Total Nacional;Cuartil superior;2016;29.191,56
Ambos sexos;Total Nacional;Cuartil superior;2015;29.163,66
Ambos sexos;Total Nacional;Cuartil superior;2014;28.782,70
