Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Total Nacional;Media;2021;25.896,82
Ambos sexos;Total Nacional;Media;2020;25.165,51
Ambos sexos;Total Nacional;Media;2019;24.395,98
Ambos sexos;Total Nacional;Media;2018;24.009,12
Ambos sexos;Total Nacional;Media;2017;23.646,50
Ambos sexos;Total Nacional;Media;2016;23.156,34
Ambos sexos;Total Nacional;Media;2015;23.106,30
Ambos sexos;Total Nacional;Media;2014;22.858,17
