Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
mar-15;11,6 €/m2;0,50%;1,10%;3,80%
feb-15;11,5 €/m2;0,60%;0,60%;3,20%
ene-15;11,5 €/m2;0,00%;0,10%;3,00%
dic-14;11,5 €/m2;0,00%;0,50%;3,30%
nov-14;11,5 €/m2;0,10%;1,10%;2,60%
oct-14;11,4 €/m2;0,30%;1,30%;1,60%
sep-14;11,4 €/m2;0,60%;1,30%;1,30%
ago-14;11,3 €/m2;0,30%;1,10%;1,10%
jul-14;11,3 €/m2;0,30%;0,90%;0,90%
jun-14;11,3 €/m2;0,40%;0,80%;0,70%
may-14;11,2 €/m2;0,20%;0,40%;0,30%
abr-14;11,2 €/m2;0,20%;0,70%;-0,60%
mar-14;11,2 €/m2;0,00%;0,70%;-1,00%
feb-14;11,2 €/m2;0,50%;0,00%;-1,60%
ene-14;11,1 €/m2;0,20%;-1,20%;-2,30%
dic-13;11,1 €/m2;-0,70%;-1,50%;-3,20%
nov-13;11,2 €/m2;-0,80%;-0,30%;-3,80%
oct-13;11,3 €/m2;0,00%;0,60%;-4,10%
sep-13;11,3 €/m2;0,40%;0,70%;-4,50%
ago-13;11,2 €/m2;0,10%;0,30%;-5,00%
jul-13;11,2 €/m2;0,20%;-0,60%;-5,30%
jun-13;11,2 €/m2;0,00%;-1,00%;-5,80%
may-13;11,2 €/m2;-0,70%;-1,50%;-6,30%
abr-13;11,3 €/m2;-0,20%;-1,00%;-5,60%
mar-13;11,3 €/m2;-0,60%;-1,50%;-5,70%
feb-13;11,4 €/m2;-0,20%;-2,30%;-5,50%
ene-13;11,4 €/m2;-0,70%;-3,10%;-5,40%
dic-12;11,5 €/m2;-1,30%;-2,80%;-5,60%
nov-12;11,6 €/m2;-1,10%;-1,60%;-5,00%
oct-12;11,7 €/m2;-0,40%;-0,70%;-4,30%
sep-12;11,8 €/m2;-0,10%;-0,60%;-4,20%
ago-12;11,8 €/m2;-0,20%;-1,00%;-4,00%
