Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
mar-15;6,9 €/m2;0,20%;-0,10%;2,80%
feb-15;6,9 €/m2;0,20%;0,40%;2,50%
ene-15;6,9 €/m2;-0,50%;0,70%;1,80%
dic-14;6,9 €/m2;0,70%;2,20%;2,40%
nov-14;6,9 €/m2;0,50%;1,50%;2,00%
oct-14;6,9 €/m2;1,00%;1,30%;1,40%
sep-14;6,8 €/m2;0,00%;0,10%;2,70%
ago-14;6,8 €/m2;0,30%;-0,40%;1,10%
jul-14;6,8 €/m2;-0,20%;-0,20%;-0,50%
jun-14;6,8 €/m2;-0,60%;0,50%;-0,60%
may-14;6,8 €/m2;0,60%;1,00%;0,00%
abr-14;6,8 €/m2;0,50%;0,10%;-0,70%
mar-14;6,7 €/m2;-0,10%;-0,40%;-1,70%
feb-14;6,7 €/m2;-0,40%;-0,10%;-2,00%
ene-14;6,8 €/m2;0,00%;0,20%;-2,20%
dic-13;6,8 €/m2;0,30%;2,50%;-2,40%
nov-13;6,8 €/m2;-0,10%;0,60%;-3,60%
oct-13;6,8 €/m2;2,30%;-0,60%;-4,60%
sep-13;6,6 €/m2;-1,60%;-3,10%;-6,20%
ago-13;6,7 €/m2;-1,30%;-1,50%;-5,20%
jul-13;6,8 €/m2;-0,20%;-0,40%;-4,10%
jun-13;6,8 €/m2;0,00%;-0,70%;-3,80%
may-13;6,8 €/m2;-0,20%;-1,00%;-4,80%
abr-13;6,8 €/m2;-0,50%;-1,40%;-4,40%
mar-13;6,9 €/m2;-0,30%;-1,20%;-3,90%
feb-13;6,9 €/m2;-0,60%;-1,80%;-2,50%
ene-13;6,9 €/m2;-0,20%;-2,20%;-2,70%
dic-12;6,9 €/m2;-0,90%;-1,40%;-3,70%
nov-12;7,0 €/m2;-1,10%;-1,00%;-3,10%
oct-12;7,1 €/m2;0,60%;0,00%;-2,00%
sep-12;7,0 €/m2;-0,60%;-0,70%;-2,00%
ago-12;7,1 €/m2;-0,10%;-1,10%;-2,00%
jul-12;7,1 €/m2;0,00%;-0,80%;-3,30%
jun-12;7,1 €/m2;-1,00%;-0,70%;-4,50%
may-12;7,2 €/m2;0,20%;1,40%;-3,40%
abr-12;7,1 €/m2;0,10%;0,40%;-3,50%
mar-12;7,1 €/m2;1,20%;-1,00%;-3,50%
feb-12;7,1 €/m2;-0,80%;-2,40%;-4,70%
ene-12;7,1 €/m2;-1,30%;-1,60%;-2,20%
dic-11;7,2 €/m2;-0,30%;0,30%;-0,70%
nov-11;7,2 €/m2;0,00%;0,10%;-2,60%
oct-11;7,2 €/m2;0,60%;-1,40%;-2,70%
sep-11;7,2 €/m2;-0,50%;-3,20%;-3,20%
ago-11;7,2 €/m2;-1,50%;-2,60%;-3,10%
jul-11;7,3 €/m2;-1,20%;-0,90%;-1,90%
jun-11;7,4 €/m2;0,10%;0,30%;-1,90%
may-11;7,4 €/m2;0,20%;0,10%;-3,10%
abr-11;7,4 €/m2;0,00%;1,70%;-2,70%
mar-11;7,4 €/m2;0,00%;1,90%;-2,70%
feb-11;7,4 €/m2;1,70%;-0,20%;-3,40%
ene-11;7,3 €/m2;0,20%;-2,10%;-3,50%
dic-10;7,3 €/m2;-2,20%;-2,20%;-4,20%
nov-10;7,4 €/m2;-0,10%;-0,40%;-1,00%
oct-10;7,4 €/m2;0,10%;-0,60%;0,80%
sep-10;7,4 €/m2;-0,40%;-1,90%;-0,10%
ago-10;7,5 €/m2;-0,30%;-2,60%;-1,60%
jul-10;7,5 €/m2;-1,30%;-1,80%;0,40%
jun-10;7,6 €/m2;-1,00%;-0,50%;2,30%
may-10;7,7 €/m2;0,50%;-0,20%;2,00%
abr-10;7,6 €/m2;0,00%;0,80%;-3,20%
mar-10;7,6 €/m2;-0,70%;0,40%;-2,60%
feb-10;7,7 €/m2;1,50%;2,20%;-5,70%
ene-10;7,5 €/m2;-0,40%;2,30%;-4,90%
dic-09;7,6 €/m2;1,10%;2,00%;-2,30%
nov-09;7,5 €/m2;1,70%;-1,00%;-0,80%
oct-09;7,4 €/m2;-0,70%;-1,00%;-2,70%
sep-09;7,4 €/m2;-1,90%;0,40%;-5,30%
ago-09;7,6 €/m2;1,70%;1,00%;-9,00%
jul-09;7,4 €/m2;0,70%;-5,20%;-15,80%
jun-09;7,4 €/m2;-1,30%;-5,20%;n.d.
may-09;7,5 €/m2;-4,60%;-7,70%;n.d.
abr-09;7,9 €/m2;0,60%;-1,00%;n.d.
mar-09;7,8 €/m2;-3,90%;0,60%;n.d.
feb-09;8,1 €/m2;2,40%;7,50%;n.d.
ene-09;7,9 €/m2;2,30%;4,70%;n.d.
dic-08;7,8 €/m2;2,70%;-1,10%;n.d.
nov-08;7,6 €/m2;-0,30%;-9,20%;n.d.
oct-08;7,6 €/m2;-3,40%;-14,30%;n.d.
sep-08;7,8 €/m2;-5,70%;n.d.;n.d.
ago-08;8,3 €/m2;-5,90%;n.d.;n.d.
jul-08;8,8 €/m2;n.d.;n.d.;n.d.
jun-08;n.d.;n.d.;n.d.;n.d.
may-08;n.d.;n.d.;n.d.;n.d.
abr-08;n.d.;n.d.;n.d.;n.d.
mar-08;n.d.;n.d.;n.d.;n.d.
feb-08;n.d.;n.d.;n.d.;n.d.
ene-08;n.d.;n.d.;n.d.;n.d.
dic-07;n.d.;n.d.;n.d.;n.d.
nov-07;n.d.;n.d.;n.d.;n.d.
oct-07;n.d.;n.d.;n.d.;n.d.
sep-07;n.d.;n.d.;n.d.;n.d.
ago-07;n.d.;n.d.;n.d.;n.d.
jul-07;n.d.;n.d.;n.d.;n.d.
jun-07;n.d.;n.d.;n.d.;n.d.
may-07;n.d.;n.d.;n.d.;n.d.
abr-07;n.d.;n.d.;n.d.;n.d.
mar-07;n.d.;n.d.;n.d.;n.d.
feb-07;n.d.;n.d.;n.d.;n.d.
ene-07;n.d.;n.d.;n.d.;n.d.
dic-06;n.d.;n.d.;n.d.;n.d.
nov-06;n.d.;n.d.;n.d.;n.d.
oct-06;n.d.;n.d.;n.d.;n.d.
sep-06;n.d.;n.d.;n.d.;n.d.
ago-06;n.d.;n.d.;n.d.;n.d.
jul-06;n.d.;n.d.;n.d.;n.d.
jun-06;n.d.;n.d.;n.d.;n.d.
may-06;n.d.;n.d.;n.d.;n.d.
abr-06;n.d.;n.d.;n.d.;n.d.
mar-06;n.d.;n.d.;n.d.;n.d.
feb-06;n.d.;n.d.;n.d.;n.d.
ene-06;n.d.;n.d.;n.d.;n.d.
