Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
mar-15;13,8 €/m2;0,00%;0,60%;3,10%
feb-15;13,8 €/m2;-0,10%;0,80%;3,10%
ene-15;13,8 €/m2;0,70%;1,00%;3,80%
dic-14;13,7 €/m2;0,20%;1,00%;3,10%
nov-14;13,6 €/m2;0,00%;2,30%;2,30%
oct-14;13,6 €/m2;0,80%;2,30%;2,30%
sep-14;13,5 €/m2;1,50%;1,50%;1,50%
ago-14;13,3 €/m2;0,00%;-0,40%;0,00%
jul-14;13,3 €/m2;0,00%;0,00%;0,00%
jun-14;13,3 €/m2;-0,40%;0,00%;0,00%
may-14;13,4 €/m2;0,40%;0,40%;-0,30%
abr-14;13,3 €/m2;0,00%;0,50%;-1,50%
mar-14;13,3 €/m2;0,00%;0,60%;-2,20%
feb-14;13,3 €/m2;0,50%;0,00%;-2,30%
ene-14;13,3 €/m2;0,10%;-0,50%;-2,80%
dic-13;13,3 €/m2;-0,60%;-0,60%;-3,60%
nov-13;13,3 €/m2;0,00%;0,00%;-4,00%
oct-13;13,3 €/m2;0,00%;0,00%;-4,50%
sep-13;13,3 €/m2;0,00%;0,00%;-5,10%
ago-13;13,3 €/m2;0,00%;-0,80%;-5,00%
jul-13;13,3 €/m2;0,00%;-1,50%;-5,20%
jun-13;13,3 €/m2;-0,70%;-2,20%;-5,90%
may-13;13,4 €/m2;-0,80%;-1,50%;-6,00%
abr-13;13,5 €/m2;-0,70%;-0,70%;-6,30%
mar-13;13,6 €/m2;0,00%;-0,80%;-6,30%
feb-13;13,6 €/m2;0,00%;-1,80%;-7,20%
ene-13;13,6 €/m2;-0,80%;-2,20%;-8,30%
dic-12;13,8 €/m2;-1,00%;-2,20%;-8,30%
nov-12;13,9 €/m2;-0,50%;-1,00%;-7,40%
oct-12;14,0 €/m2;-0,70%;-0,80%;-6,10%
sep-12;14,1 €/m2;0,10%;-0,80%;-5,40%
ago-12;14,0 €/m2;-0,20%;-1,80%;-6,40%
jul-12;14,1 €/m2;-0,70%;-2,70%;-6,20%
jun-12;14,2 €/m2;-0,80%;-2,60%;-5,60%
may-12;14,3 €/m2;-1,10%;-2,80%;-4,80%
abr-12;14,4 €/m2;-0,70%;-2,90%;-3,70%
mar-12;14,5 €/m2;-1,10%;-3,00%;-4,30%
feb-12;14,7 €/m2;-1,10%;-2,00%;-4,40%
ene-12;14,9 €/m2;-0,80%;0,10%;-4,10%
dic-11;15,0 €/m2;0,00%;0,90%;-2,50%
nov-11;15,0 €/m2;0,90%;0,00%;-2,50%
oct-11;14,9 €/m2;0,00%;-0,90%;-3,60%
sep-11;14,9 €/m2;-0,90%;-0,90%;-2,40%
ago-11;15,0 €/m2;0,00%;0,00%;-1,80%
jul-11;15,0 €/m2;0,00%;0,00%;-2,50%
jun-11;15,0 €/m2;0,00%;-1,30%;-3,60%
may-11;15,0 €/m2;0,00%;-2,50%;-3,20%
abr-11;15,0 €/m2;-1,30%;-3,30%;-3,20%
mar-11;15,2 €/m2;-1,20%;-1,20%;-3,20%
feb-11;15,4 €/m2;-0,90%;0,00%;-3,80%
ene-11;15,5 €/m2;0,90%;0,70%;-4,50%
dic-10;15,4 €/m2;0,00%;1,00%;-2,40%
nov-10;15,4 €/m2;-0,20%;0,70%;-3,70%
oct-10;15,4 €/m2;1,20%;0,20%;-3,40%
sep-10;15,2 €/m2;-0,30%;-2,10%;-4,80%
ago-10;15,3 €/m2;-0,70%;-1,40%;-2,20%
jul-10;15,4 €/m2;-1,10%;-0,70%;-2,80%
jun-10;15,6 €/m2;0,40%;-0,90%;-3,20%
may-10;15,5 €/m2;0,00%;-3,10%;-3,80%
abr-10;15,5 €/m2;-1,30%;-4,60%;-11,40%
mar-10;15,7 €/m2;-1,90%;-0,40%;-10,90%
feb-10;16,0 €/m2;-1,50%;0,10%;-12,60%
ene-10;16,3 €/m2;3,10%;1,80%;-8,50%
dic-09;15,8 €/m2;-1,40%;-1,50%;-17,70%
nov-09;16,0 €/m2;0,10%;2,30%;-10,00%
oct-09;16,0 €/m2;-0,30%;0,80%;-13,00%
sep-09;16,0 €/m2;2,40%;-0,40%;n.d.
ago-09;15,6 €/m2;-1,30%;-3,00%;n.d.
jul-09;15,8 €/m2;-1,50%;-9,50%;n.d.
jun-09;16,1 €/m2;-0,20%;-8,80%;n.d.
may-09;16,1 €/m2;-7,90%;-12,00%;n.d.
abr-09;17,5 €/m2;-0,60%;-1,40%;n.d.
mar-09;17,6 €/m2;-3,80%;-8,00%;n.d.
feb-09;18,3 €/m2;3,10%;3,10%;n.d.
ene-09;17,8 €/m2;-7,30%;-3,20%;n.d.
dic-08;19,1 €/m2;7,80%;n.d.;n.d.
nov-08;17,8 €/m2;-3,20%;n.d.;n.d.
oct-08;18,3 €/m2;n.d.;n.d.;n.d.
sep-08;n.d.;n.d.;n.d.;n.d.
ago-08;n.d.;n.d.;n.d.;n.d.
jul-08;n.d.;n.d.;n.d.;n.d.
jun-08;n.d.;n.d.;n.d.;n.d.
may-08;n.d.;n.d.;n.d.;n.d.
abr-08;n.d.;n.d.;n.d.;n.d.
mar-08;n.d.;n.d.;n.d.;n.d.
feb-08;n.d.;n.d.;n.d.;n.d.
ene-08;n.d.;n.d.;n.d.;n.d.
dic-07;n.d.;n.d.;n.d.;n.d.
nov-07;n.d.;n.d.;n.d.;n.d.
oct-07;n.d.;n.d.;n.d.;n.d.
sep-07;n.d.;n.d.;n.d.;n.d.
ago-07;n.d.;n.d.;n.d.;n.d.
